线路名称,线路方向,线路编号,站点代号,站点名称,站点序号,站点左经度,站点左纬度,站点右经度,站点右纬度
142,上行,0a43fd82-6932-4034-ab7e-287f42c6f436,250686c7-4fc5-7a9b-07a4-c0bbacba2600,现代大道西,29,120.644348144531,31.3177452087402,120.644348144531,31.3177452087402
142,上行,0a43fd82-6932-4034-ab7e-287f42c6f436,0b1773d0-52a6-7d06-3b1d-77c8ce04c8ed,东港新村,30,120.643615722656,31.3223609924316,120.643615722656,31.3223609924316
142,上行,0a43fd82-6932-4034-ab7e-287f42c6f436,2eae998d-54e2-8dc7-6782-e0d21c567b56,向阳桥南,31,120.642578125,31.3261089324951,120.642578125,31.3261089324951
142,上行,0a43fd82-6932-4034-ab7e-287f42c6f436,f32f2641-f9d5-dc74-1556-bc1b3836c908,苏安新村,32,120.640441894531,31.3306770324707,120.640441894531,31.3306770324707
142,上行,0a43fd82-6932-4034-ab7e-287f42c6f436,a35b7278-127f-c07e-d637-0b033d0ad7ce,官渎里立交桥（华东电器城）,33,120.634239196777,31.3351535797119,120.634239196777,31.3351535797119
142,下行,93684646-9846-47d0-a309-c198c39d661c,a35b7278-127f-c07e-d637-0b033d0ad7ce,官渎里立交桥（华东电器城）,1,120.634239196777,31.3351535797119,120.634239196777,31.3351535797119
142,下行,93684646-9846-47d0-a309-c198c39d661c,a9aa30ad-cd72-439d-1fd3-22272e9d0a59,苏安新村,2,120.63990020752,31.3305950164795,120.63990020752,31.3305950164795
142,下行,93684646-9846-47d0-a309-c198c39d661c,172eea88-bc56-e7a5-edc8-8705afe1192a,向阳桥南,3,120.642097473145,31.3257446289063,120.642097473145,31.3257446289063
142,下行,93684646-9846-47d0-a309-c198c39d661c,26630e4c-5ecc-ed4c-4548-431a9c4dd139,东港新村,4,120.643005371094,31.3225898742676,120.643005371094,31.3225898742676
142,下行,93684646-9846-47d0-a309-c198c39d661c,c7818ecb-7146-d425-10ee-6bde5baa0b84,现代大道西,5,120.644325256348,31.3173389434814,120.644325256348,31.3173389434814
142,下行,93684646-9846-47d0-a309-c198c39d661c,dbb04cc4-d421-2089-5307-f92cf23d3410,相门新村,6,120.645172119141,31.3155155181885,120.645172119141,31.3155155181885
142,下行,93684646-9846-47d0-a309-c198c39d661c,7bc8975c-4631-5177-ae21-d02d647ec81b,徐家浜,7,120.646896362305,31.3092060089111,120.646896362305,31.3092060089111
142,下行,93684646-9846-47d0-a309-c198c39d661c,b2ab87b6-dbf2-7c68-2c5c-13e252547148,夏园新村,8,120.650779724121,31.3079071044922,120.650779724121,31.3079071044922
142,下行,93684646-9846-47d0-a309-c198c39d661c,7a0ec0de-8a25-4180-5471-dde13e10c7c7,欧尚超市②,9,120.654403686523,31.3080654144287,120.654403686523,31.3080654144287
142,下行,93684646-9846-47d0-a309-c198c39d661c,d3b79746-7837-b327-683d-76ea04e01a42,欧莱雅,10,120.657646179199,31.3080520629883,120.657646179199,31.3080520629883
142,下行,93684646-9846-47d0-a309-c198c39d661c,dac91995-effc-7a03-0722-aac21a04e0d8,邮电大楼,11,120.664024353027,31.3080959320068,120.664024353027,31.3080959320068
142,下行,93684646-9846-47d0-a309-c198c39d661c,f4340865-2947-18bd-db05-2e1ee770579a,加城大厦,12,120.668296813965,31.3081283569336,120.668296813965,31.3081283569336
142,下行,93684646-9846-47d0-a309-c198c39d661c,05dedad7-3c43-92fb-f8a7-79abe01685b0,馨都广场,13,120.672393798828,31.3080959320068,120.672393798828,31.3080959320068
142,下行,93684646-9846-47d0-a309-c198c39d661c,f5098fc9-6721-fc21-4f72-e1b9d0e19d2c,李公堤,14,120.678176879883,31.3065719604492,120.678176879883,31.3065719604492
142,下行,93684646-9846-47d0-a309-c198c39d661c,c29f2742-6b74-a9ad-247f-0d38b6d3d03e,星尚邻里,15,120.681030273437,31.3015727996826,120.681030273437,31.3015727996826
142,下行,93684646-9846-47d0-a309-c198c39d661c,38c54929-c778-c69b-6d00-a9475292d1ac,高尔夫花园,16,120.682800292969,31.2980861663818,120.682800292969,31.2980861663818
142,下行,93684646-9846-47d0-a309-c198c39d661c,3dfdc753-adc4-461d-ac04-2e330b5072c2,李公堤南,17,120.68879699707,31.2978610992432,120.68879699707,31.2978610992432
142,下行,93684646-9846-47d0-a309-c198c39d661c,5516b5dd-822f-5c19-d968-bdb4edc8645c,金鸡湖大酒店,18,120.69514465332,31.2984657287598,120.69514465332,31.2984657287598
142,下行,93684646-9846-47d0-a309-c198c39d661c,197d49a5-37cb-7b19-987e-a33d67300a0e,金湖,19,120.702163696289,31.2995471954346,120.702163696289,31.2995471954346
142,下行,93684646-9846-47d0-a309-c198c39d661c,ee2f15fe-46f7-6498-f048-ed5dde1cda54,邻瑞广场北,20,120.71223449707,31.3007297515869,120.71223449707,31.3007297515869
142,下行,93684646-9846-47d0-a309-c198c39d661c,23365280-8522-d5d9-62cb-2be523617dbb,大地乐章西,21,120.719131469727,31.2998352050781,120.719131469727,31.2998352050781
142,下行,93684646-9846-47d0-a309-c198c39d661c,4e251902-e252-9349-e949-ef20dc302fe6,大地乐章东,22,120.722160339355,31.297887802124,120.722160339355,31.297887802124
142,下行,93684646-9846-47d0-a309-c198c39d661c,2e1a0709-379e-a184-5549-455019c9fdaf,荷韵新村,23,120.726028442383,31.2972831726074,120.726028442383,31.2972831726074
142,下行,93684646-9846-47d0-a309-c198c39d661c,4bf80276-4b4e-8800-c83f-fe04691ad164,荷韵新村南区,24,120.729751586914,31.2965831756592,120.729751586914,31.2965831756592
142,下行,93684646-9846-47d0-a309-c198c39d661c,477e8876-4166-4aef-a3ea-dc3103ecab54,莲花新村六区东,25,120.729682922363,31.2903499603271,120.729682922363,31.2903499603271
142,下行,93684646-9846-47d0-a309-c198c39d661c,8946ffd9-342a-4f18-8015-e0eedcb8395a,莲花新村五区,26,120.729766845703,31.2845001220703,120.729766845703,31.2845001220703
142,下行,93684646-9846-47d0-a309-c198c39d661c,43ebfa48-118e-5086-f0a3-507054103a12,中国人民大学苏州校区东,27,120.73006439209,31.2796840667725,120.73006439209,31.2796840667725
142,下行,93684646-9846-47d0-a309-c198c39d661c,bb0de81f-5bfd-485f-9d56-2af0467d8cf3,南大研究生院,28,120.733016967773,31.277416229248,120.733016967773,31.277416229248
142,下行,93684646-9846-47d0-a309-c198c39d661c,3df0c0de-009c-cf24-335c-de5aa5d7e4ea,西交大,29,120.737297058105,31.2775173187256,120.737297058105,31.2775173187256
142,下行,93684646-9846-47d0-a309-c198c39d661c,94da59d3-5dbc-4283-5e2d-c0be01465956,翰林邻里中心,30,120.740348815918,31.2770824432373,120.740348815918,31.2770824432373
142,下行,93684646-9846-47d0-a309-c198c39d661c,b16e8764-3eea-8cec-a870-37dfa1d87bdd,文荟广场西,31,120.742202758789,31.273099899292,120.742202758789,31.273099899292
142,下行,93684646-9846-47d0-a309-c198c39d661c,d65946a2-6454-e5e4-c779-664a778481c6,独墅湖高教区首末站,32,120.745819091797,31.2699947357178,120.745819091797,31.2699947357178
